scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
43074,453358,326000,-127358,0.683333,0.467025,186.662
43075,466226,290008,-176218,0.722222,0.410972,192.911
43076,444333,314046,-130287,0.688889,0.467538,203.396
43077,448752,310853,-137899,0.705556,0.446092,171.51
43078,457088,329238,-127849,0.711111,0.462877,214.793
43079,454421,335109,-119312,0.683333,0.477007,206.41
43080,474803,290825,-183978,0.733333,0.414746,201.885
43081,454952,315401,-139551,0.694444,0.455045,173.253
43082,440596,311600,-128996,0.716667,0.455546,187.333
43083,447577,349036,-98540.8,0.666667,0.503462,206.908
43084,452244,277566,-174678,0.738889,0.401702,177.832
